shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio,parent
11933810B27074780106305,الزهور,1.98858,10,502.005,99.8274,252.443,50.2005,54.6629,59.2536,61.4116,1.98858,1,1.98858,1,701.003,701.003,701.003,0,1,352.514,0.716123,0.107849,2.24636e-09,0.205312,0.00107793,6.02119e-05,17.9023,Tunis
11933810B6714146070039,حيدرة,495.039,2450,784.016,158.394,1.58375,0.320006,0.17587,0.339831,34.4582,99.8034,0.201607,1.818,0.00367245,11223.3,11220.9,6020.9,5199.97,0.536581,22.6716,0.0698561,0.512024,0.767197,4.43869,0.00168348,0.000964012,1.74633,Kasserine
11933810B18230049002493,المدينة,1.19309,6,560.583,111.471,469.858,93.4304,91.8779,109.514,111.503,1.19309,1,1.19309,1,11506.1,11506.1,11506.1,0,1,9643.99,0.0487203,0.0780799,0.0775975,0.13818,0.00120372,0.000988308,1.21796,Tunis
11933810B70158392681362,النفيضة,381.178,1900,3202.13,642.358,8.40063,1.68533,0.461463,3.11361,63.5049,355.481,0.932586,15.4461,0.040522,57503.6,57503.6,56134.8,1368.75,0.976197,150.858,0.0556858,0.7132,0.656201,2.71584,0.00687581,0.0049392,1.39209,Sousse
11933810B78138707020335,باب سويقة,1.98828,10,812.552,161.559,408.67,81.2552,80.7912,93.77,106.095,1.98828,1,1.98828,1,26202.5,26202.5,26202.5,0,1,13178.5,0.0310105,0.0835634,0.0767286,0.149811,0.00174476,0.00225064,0.77523,Tunis
11933810B79340019170790,بنزرت الشمالية,54.0982,274,2640.93,521.757,48.8173,9.63843,0.821446,43.1577,76.5988,46.0219,0.85071,13.6314,0.251976,88404.8,88404.8,88235,169.789,0.998079,1634.15,0.0298731,0.754156,0.402426,1.71827,0.00567076,0.00759343,0.746798,Bizerte
11933810B49530197885075,الزريبة,347.2,1735,1411.46,282.344,4.06527,0.813522,0.244203,0.670453,67.9695,167.456,0.482304,4.59985,0.0132484,22604.7,22603.2,16634.6,5968.66,0.735938,65.1058,0.0624409,0.712688,0.814366,5.16497,0.00303077,0.00194161,1.56096,Zaghouan
11933810B5079624698745,مدنين االجنوبية,730.365,3522,1787.64,370.725,2.4476,0.507564,0.178214,0.535144,50.9178,185.802,0.254396,5.39364,0.00738486,66124.3,66124.3,48628.3,17496,0.735407,90.5361,0.0270345,0.659779,0.705207,4.12783,0.00383853,0.00567968,0.675836,Médenine
11933810B55082969984596,السواسي,345.353,1705,1329.22,269.235,3.84887,0.779599,0.38832,0.947,37.219,284.594,0.824068,4.65845,0.013489,48420.1,48420.1,43538.9,4881.19,0.899191,140.205,0.0274517,0.560179,0.713952,2.85508,0.00285417,0.00415899,0.686265,Mahdia
11933810B3203162636288,فوشانة,39.4242,198,3145.73,626.283,79.7918,15.8875,9.85687,36.9102,91.3895,39.4242,1,19.5112,0.494903,73709.1,73709.1,73709.1,0,1,1869.64,0.0426776,0.513627,0.397683,1.04847,0.00675469,0.00633116,1.0669,Ben Arous
11933810B75310279086219,مجاز الباب,461.13,2316,1670.17,332.695,3.62192,0.721146,0.242478,0.827792,47.6128,216.119,0.468673,5.97724,0.0129622,46956.9,46956.9,38355.4,8601.41,0.816823,101.83,0.0355683,0.681688,0.701138,3.69285,0.00358629,0.00403331,0.88917,Béja
11933810B2824472069390,مرناق,397.173,1992,3451.01,687.657,8.68894,1.73244,0.658823,3.66488,49.762,362.636,0.913042,9.56255,0.0240765,60918.8,60918.8,59932.1,986.63,0.983804,153.381,0.0566495,0.628466,0.571909,2.01615,0.00741022,0.00523255,1.41618,Ben Arous
11933810B89916598335200,المرسى,30.1864,152,4376.48,869.242,144.981,28.7926,24.0296,57.9752,68.732,30.1864,1,26.2156,0.868457,101337,101337,101337,0,1,3357.03,0.0431874,0.356516,0.300844,0.632278,0.00939743,0.00870422,1.07964,Tunis
11933810B30611491582390,المطوية,409.634,1991,1169.96,240.85,2.85611,0.587624,0.19982,0.658267,21.5473,130.512,0.318605,4.11933,0.0100561,28824.3,28824.3,22194.1,6630.15,0.76998,70.3659,0.0405894,0.663806,0.635284,3.02294,0.00251221,0.00247583,1.01469,Gabès
11933810B38388231155929,المضيلة,643.037,3131,1074.88,220.633,1.67157,0.343302,0.156738,0.341698,22.101,100.966,0.157014,2.05139,0.00319016,16758.3,16242.4,10519.2,5723.2,0.647639,26.0612,0.0641401,0.570231,0.696207,3.28275,0.00230804,0.00143944,1.60344,Gafsa
11933810B11969920480260,القطار,928.187,4523,1258.85,258.24,1.35625,0.278322,0.147083,0.244436,24.6576,87.3655,0.0941249,3.28139,0.00353527,20393.7,19699.4,11419.2,8280.19,0.579673,21.9715,0.0617275,0.520202,0.742629,4.02469,0.00270308,0.00175169,1.54313,Gafsa
11933810B88432623246130,قبلي الشمالية,1818.68,8818,3314.64,684.327,1.82255,0.375895,0.13157,0.320394,49.1153,254.887,0.140149,9.70829,0.0053381,58418.6,56581.8,41269,15312.8,0.729369,32.1214,0.0567395,0.660358,0.725893,4.88121,0.00711739,0.0050178,1.41843,Kébili
11933810B29604582719412,باجة الجنوبية,363.628,1825,1560.86,310.805,4.29248,0.855268,0.220499,0.7984,55.7935,147.795,0.406447,7.56449,0.0208029,33870.1,33865.6,27938.6,5926.97,0.824985,93.1449,0.0460839,0.745821,0.633444,3.98932,0.00335158,0.00290923,1.15205,Béja
11933810B6535547360334,القصرين الشمالية,97.3917,480,2521.4,511.796,25.8892,5.25291,0.478151,18.2094,63.8129,73.6583,0.75631,14.0063,0.143814,71379.6,71379.6,70260.7,1118.9,0.984325,732.912,0.0353238,0.806503,0.378313,2.20568,0.00541409,0.00613107,0.883059,Kasserine
11933810B95103152566623,باردو,7.55495,38,2052.95,408.152,271.735,54.0249,52.6005,73.7825,83.0259,7.55495,1,7.55495,1,97911,97911,97911,0,1,12959.8,0.0209675,0.134083,0.138675,0.238076,0.00440821,0.00840995,0.524165,Tunis
11933810B5544515796376,الميدة,151.675,762,782.939,155.84,5.16195,1.02748,0.492021,1.59215,31.2676,141.728,0.934421,1.79126,0.0118099,28742.8,28742.8,28185.5,557.273,0.980612,189.502,0.0272395,0.564101,0.709482,2.3546,0.00168117,0.00246883,0.680959,Nabeul
11933810B20435458440644,حفوز,608.632,3015,941.465,190.06,1.54686,0.312261,0.204893,0.38255,22.9503,179.112,0.294286,1.41278,0.00232124,36179.4,36179.4,19840.4,16339,0.54839,59.4439,0.0260221,0.408946,0.776476,2.70134,0.00202157,0.00310759,0.650527,Kairouan
11933810B76458029989338,شربان,444.083,2189,727.125,147.482,1.63736,0.332172,0.234252,0.49499,6.63472,197.762,0.445327,0,0,22454.5,22454.5,13910,8544.58,0.619472,50.5639,0.0323821,0.367358,0.620161,1.29179,0.00156133,0.00192871,0.809519,Mahdia
11933810B30403367882459,مكثر,340.737,1693,935.449,188.268,2.74537,0.55254,0.199478,0.415103,34.2353,95.1873,0.279357,3.8241,0.011223,27453.9,27453.9,18892.1,8561.77,0.68814,80.5721,0.0340734,0.653079,0.683244,4.3305,0.00200865,0.00235812,0.851801,Siliana
