shapeID,name,sol,pop,area_km2,parent,sol_0,growth,abs_change,z_robust,flag
11933810B21257507323383,سيدي حسين,4254.25,106510,64.6762,Tunis,3187.51,0.0325954,1066.74,-0.17999,within normal range · dans la plage normale
11933810B7200177865373,سبيطلة,3218.24,78834.1,1113.03,Kasserine,2468.78,0.0298952,749.467,-0.28205,within normal range · dans la plage normale
11933810B17375886890417,حمام الأنف,1106.07,42094.8,11.147,Ben Arous,1011.46,0.00998432,94.6047,-1.0346,within normal range · dans la plage normale
11933810B52074179872789,فريانة,2785.06,54466.8,1002.87,Kasserine,2366.56,0.0182573,418.504,-0.721914,within normal range · dans la plage normale
11933810B3034727793195,تستور,1783.4,34619,640.083,Béja,1304.09,0.0353911,479.305,-0.0743271,within normal range · dans la plage normale
11933810B37862088791511,حاجب العيون,1658.71,36358.9,586.864,Kairouan,1077.83,0.0490649,580.882,0.442488,within normal range · dans la plage normale
11933810B10014638911734,حاسي الفريد,651.089,20274,964.676,Kasserine,928.214,-0.0386356,-277.125,-2.87224,significant loss · baisse significative
11933810B29864184441707,بئر مشارقة,3752.26,31844.9,532.053,Zaghouan,2152.32,0.0637038,1599.94,0.995781,within normal range · dans la plage normale
11933810B5291941008457,Jendouba Sud,2648.17,62544.8,252.428,Jendouba,1949.13,0.0346404,699.038,-0.1027,within normal range · dans la plage normale
11933810B48763821279010,Kerkennah,2348.15,14887.6,150.439,Sfax,1081.33,0.0899803,1266.82,1.98893,within normal range · dans la plage normale
11933810B23318166280957,الروحية,490.683,25052.5,652.011,Siliana,744.046,-0.0452027,-253.364,-3.12044,significant loss · baisse significative
11933810B792600527731,السيجومي,710.835,24549.9,2.38643,Tunis,643.756,0.0110742,67.0785,-0.993406,within normal range · dans la plage normale
11933810B49393262252767,أم العرائس,1764.83,24139.2,971.565,Gafsa,1488.35,0.0191121,276.48,-0.689604,within normal range · dans la plage normale
11933810B59766353296810,سليانة الشمالية,1917.79,33858.3,384.233,Siliana,1102.76,0.0634139,815.03,0.984821,within normal range · dans la plage normale
11933810B38672190318546,ذهيبة,2828.21,4357.41,3211.31,Tataouine,7240.19,-0.0991754,-4411.97,-5.16039,significant loss · baisse significative
11933810B45404698681959,جومين,392.738,27032.2,552.301,Bizerte,587.076,-0.043685,-194.338,-3.06308,significant loss · baisse significative
11933810B14634667217503,بومرداس,1693.75,33314.5,190.815,Mahdia,1130.42,0.0459521,563.32,0.324839,within normal range · dans la plage normale
11933810B855044538504,بني خيار,2287.01,45625.6,105.16,Nabeul,1577.45,0.0421339,709.555,0.180523,within normal range · dans la plage normale
11933810B10530629108425,بوحجلة,2304.35,74461.6,685.436,Kairouan,1562.44,0.0441177,741.909,0.255504,within normal range · dans la plage normale
11933810B94035776455507,الهوارية,2078.52,38798.3,309.361,Nabeul,932.81,0.0931063,1145.71,2.10708,within normal range · dans la plage normale
11933810B85459320583034,صواف,636.937,13759.5,251.467,Zaghouan,428.66,0.0449831,208.277,0.288214,within normal range · dans la plage normale
11933810B73279713716236,بئر الحفي,2016.32,41170.2,512.854,Sidi Bouzid,1157.35,0.0636242,858.968,0.992772,within normal range · dans la plage normale
11933810B41984965215358,الجديدة,2648.44,55658.9,182.586,Manouba,1254.26,0.0865931,1394.18,1.8609,within normal range · dans la plage normale
11933810B94695140482222,المحمدية,3243.8,77273.7,96.6305,Ben Arous,1912.54,0.0604588,1331.26,0.873132,within normal range · dans la plage normale
